ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
ALRM,"Alarm.com Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001459200,BBG007GNPYY7,BBG007GNPYZ6,2022-05-09T00:00:00Z
ALRN,"Aileron Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001420565,BBG002454KR1,BBG002454KS0,2022-05-09T00:00:00Z
ALRS,Alerus Financial Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000903419,BBG000BTXSH7,BBG001SGGKT8,2022-05-09T00:00:00Z
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001865111,,,2022-05-09T00:00:00Z
ALSAR,Alpha Star Acquisition Corporation Rights,stocks,us,XNAS,RIGHT,True,usd,0001865111,,,2022-05-09T00:00:00Z
ALSAU,Alpha Star Acquisition Corporation Units,stocks,us,XNAS,UNIT,True,usd,0001865111,,,2022-05-09T00:00:00Z
ALSAW,Alpha Star Acquisition Corporation Warrants,stocks,us,XNAS,WARRANT,True,usd,0001865111,,,2022-05-09T00:00:00Z
ALSN,"ALLISON TRANSMISSION HOLDINGS, INC.",stocks,us,XNYS,CS,True,usd,0001411207,BBG001KY3845,BBG001V0T5F3,2022-05-09T00:00:00Z
ALT,"Altimmune, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001326190,BBG000FXML90,BBG001SNS461,2022-05-09T00:00:00Z
ALTG,Alta Equipment Group Inc.,stocks,us,XNYS,CS,True,usd,0001759824,BBG00NZ6JVD4,BBG00NZ6JW42,2022-05-09T00:00:00Z
ALTGpA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A C,stocks,us,XNYS,PFD,True,usd,0001759824,,,2022-05-09T00:00:00Z
ALTL,Pacer Lunt Large Cap Alternator ETF,stocks,us,ARCX,ETF,True,usd,0001616668,BBG00VP22TF7,BBG00VP22V71,2022-05-09T00:00:00Z
ALTO,"Alto Ingredients, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000778164,BBG000K4WSD7,BBG001SCBYZ5,2022-05-09T00:00:00Z
ALTR,Altair Engineering Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001701732,BBG000PN9NB9,BBG001SR65P2,2022-05-09T00:00:00Z
ALTU,Altitude Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001822366,BBG00YMVNVR9,BBG00YMVNVS8,2022-05-09T00:00:00Z
ALTUU,Altitude Acquisition Corp. Unit,stocks,us,XNAS,UNIT,True,usd,0001822366,BBG00XMLWL40,BBG00XMLWLZ6,2022-05-09T00:00:00Z
ALTUW,Altitude Acquisition Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001822366,BBG00Z1YBRR5,,2022-05-09T00:00:00Z
